Order ID,Customer Email,Delivery Name,Company,Delivery Street,Delivery Suburb,Delivery City,Delivery Post Code,Delivery State,Delivery Country,Shipping Method,Shipping Total,Customers Telephone,Order Total,Order Date,Order Notes,Product Qty,Products Price,Product Name,Product Model,Product Attributes
"1","test@test.com","Test User","","555 Test lane","","Test","Tennessee","55555","United States","Store Pickup (Walk In)","0.0000","555-555-5555","42.00","2007-06-01 18:37:51","","1","42.0000","Speed 2: Cruise Control","DVD-SPEED2",
"2","test@test.com","Test User","","555 Test lane","","Test","Tennessee","55555","United States","Flat Rate (Best Way)","5.0000","555-555-5555","30.00","2007-06-09 20:45:56","Please leave at the back door","1","25.0000","Test One","Test1",
"3","test@test.com","Test User","","555 Test lane","","Test","Tennessee","55555","United States","Flat Rate (Best Way)","5.0000","555-555-5555","240.00","2007-06-09 21:02:33","","1","235.0000","TEST $120 Special 25% Sale New Price $100","Test120-25-New100","Color: Red | Size: X-Small | Gift Options: Collector's Tin | "
"4","test@test.com","Test User","","555 Test lane","","Test","Tennessee","55555","United States","Flat Rate (Best Way)","5.0000","555-555-5555","95.00","2007-06-09 22:10:22","I am ordering three items. Ship in one box please.","3","30.0000","Blade Runner - Director's Cut Linked","DVD-BLDRNDC",
"5","test@test.com","Test User","","555 Test lane","","Test","Tennessee","55555","United States","Per Item (Best Way)","2.5000","555-555-5555","162.48","2007-06-12 21:39:35","I would like this shipped in a brown box.","1","89.9900","Unreal Tournament Linked","PC-UNTM","Version: Download: Windows - English | "
"5","test@test.com","Test User","","555 Test lane","","Test","Tennessee","55555","United States","Per Item (Best Way)","2.5000","555-555-5555","162.48","2007-06-12 21:39:35","I would like this shipped in a brown box.","1","69.9900","Microsoft Internet Keyboard PS/2","MSINTKB",
"6","test@test.com","Test User","","555 Test lane","","Test","Tennessee","55555","United States","Per Item (Best Way)","2.5000","555-555-5555","452.49","2007-06-12 21:42:00","Let's try this again","1","449.9900","Matrox G200 MMS","MG200MMS","Model: Premium | Memory: 8 mb | "
"7","test@test.com","Test User","","555 Test lane","","Test","Tennessee","55555","United States","Flat Rate (Best Way)","5.0000","555-555-5555","70.00","2007-06-12 22:07:06","two different dvd's with no attributes","1","35.0000","Frantic Linked","DVD-FRAN",
"7","test@test.com","Test User","","555 Test lane","","Test","Tennessee","55555","United States","Flat Rate (Best Way)","5.0000","555-555-5555","70.00","2007-06-12 22:07:06","two different dvd's with no attributes","1","30.0000","Blade Runner - Director's Cut Linked","DVD-BLDRNDC",
"8","info@enhancedconcepts.com","Test User","","555 Test lane","","Test","Tennessee","55555","United States","Flat Rate (Best Way)","5.0000","555-555-5555","1085.18","2007-06-26 21:07:19","Please leave at the front door  Thanks!","1","515.2000","Hewlett Packard - by attributes with Special% no SALE","HPLJ1100XI","Color: Black | Memory: 16 mb | "
"8","info@enhancedconcepts.com","Test User","","555 Test lane","","Test","Tennessee","55555","United States","Flat Rate (Best Way)","5.0000","555-555-5555","1085.18","2007-06-26 21:07:19","Please leave at the front door  Thanks!","1","79.9900","SWAT 3: Close Quarters Battle Linked","PC-SWAT3",
"8","info@enhancedconcepts.com","Test User","","555 Test lane","","Test","Tennessee","55555","United States","Flat Rate (Best Way)","5.0000","555-555-5555","1085.18","2007-06-26 21:07:19","Please leave at the front door  Thanks!","1","35.0000","Frantic Linked","DVD-FRAN",
"8","info@enhancedconcepts.com","Test User","","555 Test lane","","Test","Tennessee","55555","United States","Flat Rate (Best Way)","5.0000","555-555-5555","1085.18","2007-06-26 21:07:19","Please leave at the front door  Thanks!","1","449.9900","Matrox G200 MMS","MG200MMS","Model: Premium | Memory: 8 mb | "
